chromosome	start	end	length	SV
Chr1	278	1703	1425	INV
Chr1	44998	45228	230	DEL
Chr1	77299	77557	258	DUP
Chr1	250486	250591	105	INS
Chr1	372412	372663	251	DEL
Chr1	432987	433759	772	TL
Chr1	536097	536170	73	INS
Chr1	542347	543391	1044	INS
Chr1	550366	550526	160	DUP
Chr1	552173	552527	354	DUP
Chr1	605076	605210	134	DEL
Chr1	829482	829570	88	INS
Chr1	789358	789670	312	DUP
Chr1	1080025	1080180	155	DUP
Chr1	1160224	1161221	997	DUP
Chr1	1183936	1183998	62	DEL
Chr1	1194301	1195121	820	DUP
Chr1	1196144	1196272	128	DEL
Chr1	1217505	1217936	431	INS
Chr1	1260860	1260914	54	DEL
Chr1	1251197	1251767	570	DUP
Chr1	1276120	1276616	496	DUP
Chr1	1430266	1431028	762	DUP
Chr1	1441524	1444534	3010	TL
Chr1	1520918	1527454	6536	INV
Chr1	1617632	1618123	491	DUP
Chr1	1705401	1706441	1040	DUP
Chr1	1771083	1771141	58	DEL
Chr1	1771292	1771587	295	INV
Chr1	1975092	1977166	2074	DUP
Chr1	1975105	1975868	763	DUP
Chr1	1975383	1977100	1717	DUP
Chr1	2029760	2030414	654	DUP
Chr1	2091798	2091864	66	DEL
Chr1	2157110	2157660	550	DUP
Chr1	2233802	2235167	1365	DUP
Chr1	2239826	2239883	57	INS
Chr1	2291361	2299565	8204	INV
Chr1	2455243	2465098	9855	INV
Chr1	2614607	2617565	2958	DEL
Chr1	2646540	2647375	835	DUP
Chr1	2647258	2647866	608	DUP
Chr1	2657429	2657923	494	DUP
Chr1	2671477	2671531	54	INS
Chr1	2788439	2789472	1033	DUP
Chr1	2789713	2798994	9281	DUP
Chr1	3062009	3063656	1647	DUP
Chr1	3132392	3132543	151	DUP
Chr1	3198265	3198403	138	DEL
Chr1	3239864	3239924	60	DEL
Chr1	3247353	3247577	224	DUP
Chr1	3250618	3251449	831	DUP
Chr1	3262767	3263411	644	DUP
Chr1	3263421	3263753	332	DUP
Chr1	3342460	3343059	599	DUP
Chr1	3360540	3360655	115	DUP
Chr1	3360656	3361316	660	DUP
Chr1	3523122	3523175	53	DEL
Chr1	3413559	3414850	1291	DUP
Chr1	3780765	3785720	4955	TL
Chr1	3780911	3785720	4809	DUP
Chr1	3785721	3786668	947	DUP
Chr1	3897658	3898613	955	DUP
Chr1	3979771	3979854	83	INS
Chr1	4065201	4065259	58	INS
Chr1	4091116	4091179	63	DEL
Chr1	4007544	4011047	3503	DUP
Chr1	4013719	4014024	305	DUP
Chr1	4061351	4062062	711	DUP
Chr1	4091083	4091183	100	DUP
Chr1	4110102	4111022	920	TL
Chr1	4097838	4097888	50	INS
Chr1	4197232	4198763	1531	DUP
Chr1	4209163	4209607	444	DUP
Chr1	4313826	4314668	842	DEL
Chr1	4329899	4334391	4492	DUP
Chr1	4329899	4334391	4492	TL
Chr1	4329221	4329306	85	INS
Chr1	4355438	4355492	54	INS
Chr1	4408981	4410162	1181	DUP
Chr1	4451864	4451916	52	INS
Chr1	4624322	4624417	95	DEL
Chr1	4676392	4676921	529	INS
Chr1	4708804	4709177	373	DEL
Chr1	5023004	5023129	125	INS
Chr1	5123099	5123173	74	INS
Chr1	5129939	5130008	69	INS
Chr1	5339007	5344042	5035	DUP
Chr1	5344792	5349233	4441	DUP
Chr1	5349231	5351543	2312	DUP
Chr1	5356050	5356482	432	DUP
Chr1	5357133	5358341	1208	DUP
Chr1	5357133	5358341	1208	DUP
Chr1	5391415	5392675	1260	DUP
Chr1	5395493	5395614	121	DEL
Chr1	5437045	5437782	737	DUP
Chr1	5608332	5608383	51	INS
Chr1	5656263	5656395	132	DEL
Chr1	5657927	5659134	1207	DUP
