Chrom,Start,End,Name
1,830284,830295,NUI1
1,830295,830968,NUI2
1,1395528,1395547,NUI3
1,1661774,1661776,NUI4
1,2497526,2497527,NUI5
1,3632107,3632124,NUI6
1,4604138,4604142,NUI7
1,4676025,4676037,NUI8
1,5115210,5115212,NUI9
1,5247244,5247247,NUI10
1,5720029,5720037,NUI11
1,5806785,5806786,NUI12
1,5893349,5893350,NUI13
1,5934215,5934233,NUI14
1,6633551,6633793,NUI15
1,6676200,6676210,NUI16
1,6957179,6957230,NUI17
1,7345065,7345079,NUI18
1,7613668,7613674,NUI19
1,7638831,7638832,NUI20
1,7675770,7675786,NUI21
1,8059053,8059063,NUI22
1,8850916,8850919,NUI23
1,9423094,9423094,NUI24
1,9634261,9635302,NUI25
1,9667316,9667322,NUI26
1,9693051,9693052,NUI27
1,9851886,9852012,NUI28
1,9852012,9852013,NUI29
1,10956947,10956960,NUI30
1,11236413,11236427,NUI31
1,11536981,11536988,NUI32
1,11602287,11603871,NUI33
1,11723974,11723974,NUI34
1,11886299,11886309,NUI35
1,12024622,12024626,NUI36
1,12415510,12415518,NUI37
1,12533460,12533463,NUI38
1,13024844,13024845,NUI39
1,13360091,13360544,NUI40
1,13656038,13656047,NUI41
1,14200044,14200054,NUI42
1,15060295,15060306,NUI43
1,15370703,15370717,NUI44
1,15419119,15419212,NUI45
1,15648684,15648694,NUI46
1,15895463,15896038,NUI47
1,16000222,16001180,NUI48
1,16031295,16031457,NUI49
1,16444711,16444711,NUI50
1,16582552,16582560,NUI51
1,16652963,16652968,NUI52
1,17153937,17153940,NUI53
1,17155024,17155038,NUI54
1,17359890,17359893,NUI55
1,17643682,17646523,NUI56
1,17761292,17761294,NUI57
1,18464010,18464010,NUI58
1,18504191,18504305,NUI59
1,18504305,18504443,NUI60
1,19314358,19314363,NUI61
1,19729191,19729216,NUI62
1,19976438,19976738,NUI63
1,20019740,20019752,NUI64
1,20163008,20163017,NUI65
1,20280739,20280754,NUI66
1,20827643,20828096,NUI67
1,21152816,21152821,NUI68
1,21359387,21359396,NUI69
1,21385648,21385663,NUI70
1,21588537,21588551,NUI71
1,21633036,21633048,NUI72
1,22114372,22114373,NUI73
1,22294457,22294469,NUI74
1,22498908,22499091,NUI75
1,22702462,22702472,NUI76
1,23141025,23141404,NUI77
1,23691808,23692229,NUI78
1,23954585,23954591,NUI79
1,24264512,24266692,NUI80
1,24812607,24812623,NUI81
1,25201004,25201463,NUI82
1,25615036,25615043,NUI83
1,26146588,26146673,NUI84
1,26267834,26267844,NUI85
1,26342511,26342521,NUI86
1,26627398,26627411,NUI87
1,26834446,26834448,NUI88
1,27082345,27082356,NUI89
1,27389241,27389266,NUI90
1,27532630,27532645,NUI91
1,27566456,27566465,NUI92
1,27657391,27657391,NUI93
1,27676220,27676225,NUI94
1,28034852,28035151,NUI95
1,28934638,28934644,NUI96
1,28984345,28985135,NUI97
1,29050647,29050651,NUI98
1,29553994,29554021,NUI99
1,29895736,29895747,NUI100
1,30183012,30183903,NUI101
1,30299637,30299653,NUI102
1,30736917,30736922,NUI103
1,30774911,30774952,NUI104
